Item,Weight,Storage,Purchase_Date,Consumed,Status,Wasted,Expiration,Expiration_Date
Hazelnut,274,Pantry,1/1/2023,268,Completed,6,365,1/1/2024
Stracchino,108,Freezer,1/1/2023,101,Completed,7,180,6/30/2023
Pomegranate,188,Fridge,1/1/2023,181,Completed,7,7,1/8/2023
Beeraaa,114,Pantry,1/2/2023,108,Completed,6,,1/2/2023
Vegetables,92,Fridge,1/2/2023,86,Completed,6,7,1/9/2023
Soy Yogurt,62,Freezer,1/2/2023,59,Completed,3,60,3/3/2023
Sugar,116,Fridge,1/2/2023,110,Completed,6,730,1/1/2025
Vegetables,30,Pantry,1/3/2023,30,Completed,0,3,1/6/2023
Bread,64,Pantry,1/3/2023,58,Completed,6,5,1/8/2023
Rye,172,Freezer,1/3/2023,165,Completed,7,90,4/3/2023
Plaice,130,Fridge,1/3/2023,123,Completed,7,3,1/6/2023
Tofu,126,Fridge,1/4/2023,119,Completed,7,7,1/11/2023
Strawberry,122,Fridge,1/4/2023,115,Completed,7,7,1/11/2023
Fennel,6,Freezer,1/4/2023,6,Completed,0,30,2/3/2023
Mango,74,Freezer,1/4/2023,68,Completed,6,30,2/3/2023
Grapes,168,Pantry,1/5/2023,161,Completed,7,3,1/8/2023
Octopus,152,Fridge,1/5/2023,145,Completed,7,3,1/8/2023
Sugar,40,Pantry,1/5/2023,37,Completed,3,730,1/4/2025
Carrot,34,Fridge,1/5/2023,34,Completed,0,7,1/12/2023
Asparagus,112,Freezer,1/6/2023,106,Completed,6,30,2/5/2023
Corn Canned,286,Pantry,1/6/2023,279,Completed,7,730,1/5/2025
Chickpea,76,Fridge,1/6/2023,69,Completed,7,7,1/13/2023
Milk Soy,252,Pantry,1/6/2023,246,Completed,6,365,1/6/2024
Cashew,138,Pantry,1/7/2023,131,Completed,7,3,1/10/2023
Carrob,272,Pantry,1/7/2023,266,Completed,6,3,1/10/2023
Juice Apple,60,Fridge,1/7/2023,57,Completed,3,60,3/8/2023
Tempeh,166,Fridge,1/7/2023,160,Completed,6,90,4/7/2023
Water,108,Pantry,1/8/2023,102,Completed,6,1825,1/7/2028
Cowpea,156,Fridge,1/8/2023,149,Completed,7,7,1/15/2023
Raspberry,84,Pantry,1/8/2023,77,Completed,7,3,1/11/2023
Starchy,242,Freezer,1/8/2023,235,Completed,7,30,2/7/2023
Clementine,138,Freezer,1/9/2023,132,Completed,6,30,2/8/2023
Oil Sunflower,230,Pantry,1/9/2023,224,Completed,6,730,1/8/2025
Ice Cream,130,Freezer,1/9/2023,124,Completed,6,180,7/8/2023
Ginger,226,Pantry,1/9/2023,220,Completed,6,3,1/12/2023
Melon,134,Pantry,1/10/2023,128,Completed,6,3,1/13/2023
Artichoke,102,Freezer,1/10/2023,96,Completed,6,30,2/9/2023
Cabagge,88,Pantry,1/10/2023,81,Completed,7,3,1/13/2023
Oat Meal,250,Pantry,1/11/2023,244,Completed,6,90,4/11/2023
Apple,200,Fridge,1/11/2023,194,Completed,6,7,1/18/2023
Cucumber,26,Freezer,1/11/2023,26,Completed,0,30,2/10/2023
Pineapple,218,Freezer,1/11/2023,211,Completed,7,30,2/10/2023
Blackberry,68,Fridge,1/12/2023,61,Completed,7,7,1/19/2023
Artichoke,204,Pantry,1/12/2023,198,Completed,6,3,1/15/2023
Coffee,136,Pantry,1/12/2023,129,Completed,7,365,1/12/2024
Melon,70,Freezer,1/12/2023,63,Completed,7,30,2/11/2023
Plum,140,Freezer,1/13/2023,134,Completed,6,30,2/12/2023
Pepper,102,Pantry,1/13/2023,95,Completed,7,3,1/16/2023
Pilchard,94,Fridge,1/13/2023,87,Completed,7,3,1/16/2023
Hazelnut,78,Fridge,1/13/2023,72,Completed,6,365,1/13/2024
Milk Almond,192,Pantry,1/14/2023,185,Completed,7,,1/14/2023
Sweet,158,Fridge,1/14/2023,152,Completed,6,7,1/21/2023
Tangerin,206,Freezer,1/14/2023,199,Completed,7,30,2/13/2023
Sunflower,216,Freezer,1/14/2023,209,Completed,7,30,2/13/2023
Tangerin,162,Fridge,1/15/2023,155,Completed,7,7,1/22/2023
Oil Palm,154,Pantry,1/15/2023,147,Completed,7,730,1/14/2025
Walnut,34,Pantry,1/15/2023,34,Completed,0,3,1/18/2023
Currant,172,Pantry,1/15/2023,166,Completed,6,3,1/18/2023
Millet,12,Pantry,1/16/2023,12,Completed,0,30,2/15/2023
Juice Orange,6,Pantry,1/16/2023,6,Completed,0,7,1/23/2023
Soybean,78,Freezer,1/16/2023,71,Completed,7,30,2/15/2023
Pineapple,80,Pantry,1/17/2023,74,Completed,6,3,1/20/2023
Peach,106,Pantry,1/17/2023,100,Completed,6,3,1/20/2023
